,Total_Insured,County_State,Total_Uninsured,Year,State_Code,County_Code,Poverty_percent_in_County,Total_Poverty_in_County,Uninsured_percent
732,32987,"Jackson County, IN",3687,2016,18,71,13.1,5677,10.05344386
733,24670,"Jasper County, IN",2435,2016,18,73,9.4,3032,8.983582365
734,15588,"Jay County, IN",1691,2016,18,75,13.9,2878,9.786445975
735,22697,"Jefferson County, IN",2371,2016,18,77,13.4,4061,9.458273496
736,20947,"Jennings County, IN",2186,2016,18,79,12.7,3478,9.449703886
737,118813,"Johnson County, IN",10013,2016,18,81,7.6,11300,7.77249934
738,26344,"Knox County, IN",2635,2016,18,83,17,5952,9.092791332
739,57707,"Kosciusko County, IN",7497,2016,18,85,10.4,7985,11.49776087
740,26298,"Lagrange County, IN",7422,2016,18,87,10,3851,22.01067616
741,369490,"Lake County, IN",34921,2016,18,89,16.6,79529,8.635027237
742,77507,"La Porte County, IN",8090,2016,18,91,15.7,16218,9.451265815
743,33143,"Lawrence County, IN",3227,2016,18,93,13.7,6139,8.872697278
744,91272,"Madison County, IN",9612,2016,18,95,17.5,21548,9.527774474
745,724179,"Marion County, IN",86091,2016,18,97,18.9,173996,10.62497686
746,33154,"Marshall County, IN",5224,2016,18,99,12,5490,13.61196519
747,7448,"Martin County, IN",768,2016,18,101,12.4,1241,9.347614411
748,24257,"Miami County, IN",2502,2016,18,103,15.7,5100,9.350125192
749,103277,"Monroe County, IN",10522,2016,18,105,23.8,30977,9.246126943
750,27225,"Montgomery County, IN",3257,2016,18,107,11.3,4157,10.68499442
751,52903,"Morgan County, IN",5097,2016,18,109,10.5,7254,8.787931034
752,9916,"Newton County, IN",1320,2016,18,111,12.2,1666,11.74795301
753,35512,"Noble County, IN",4264,2016,18,113,11.4,5308,10.72003218
754,4314,"Ohio County, IN",371,2016,18,115,10.1,590,7.918890075
755,13942,"Orange County, IN",1596,2016,18,117,16.3,3103,10.27159223
756,15033,"Owen County, IN",1851,2016,18,119,13.8,2827,10.96304193
757,10764,"Parke County, IN",1532,2016,18,121,16.3,2497,12.45933637
758,13115,"Perry County, IN",1210,2016,18,123,14.9,2612,8.446771379
759,9012,"Pike County, IN",886,2016,18,125,11.4,1392,8.951303294
760,129490,"Porter County, IN",10151,2016,18,127,7.8,12749,7.269354989
761,19628,"Posey County, IN",1479,2016,18,129,8.7,2192,7.007154025
762,9070,"Pulaski County, IN",1018,2016,18,131,11.5,1435,10.09119746
763,24552,"Putnam County, IN",2197,2016,18,133,12.6,4080,8.213391155
764,17982,"Randolph County, IN",1914,2016,18,135,15.4,3801,9.620024125
765,21301,"Ripley County, IN",2086,2016,18,137,12.2,3448,8.919485184
766,11950,"Rush County, IN",1568,2016,18,139,13.9,2277,11.59934902
767,195850,"St. Joseph County, IN",22735,2016,18,141,16.2,41889,10.40098817
768,17701,"Scott County, IN",1794,2016,18,143,15.8,3690,9.202359579
769,33179,"Shelby County, IN",3427,2016,18,145,12.3,5340,9.361853248
770,15251,"Spencer County, IN",1378,2016,18,147,9.1,1847,8.286728005
771,16840,"Starke County, IN",1951,2016,18,149,16.1,3694,10.38262998
772,24195,"Steuben County, IN",2403,2016,18,151,10.7,3493,9.034513873
773,13776,"Sullivan County, IN",1398,2016,18,153,14.2,2640,9.213127718
774,7654,"Switzerland County, IN",961,2016,18,155,17.2,1780,11.15496228
775,138116,"Tippecanoe County, IN",16330,2016,18,157,17.6,30478,10.5732748
776,11085,"Tipton County, IN",972,2016,18,159,8.5,1268,8.061706892
777,5269,"Union County, IN",548,2016,18,161,12.8,912,9.420663572
778,134231,"Vanderburgh County, IN",12807,2016,18,163,17.4,30462,8.709993335
779,11387,"Vermillion County, IN",1104,2016,18,165,13.3,2039,8.838363622
780,74546,"Vigo County, IN",7731,2016,18,167,17.8,17567,9.396307595
781,21558,"Wabash County, IN",2367,2016,18,169,11.5,3428,9.893416928
782,5997,"Warren County, IN",523,2016,18,171,9.1,731,8.021472393
783,48313,"Warrick County, IN",3572,2016,18,173,7.5,4615,6.884456008
784,20536,"Washington County, IN",2336,2016,18,175,14.3,3898,10.21336132
785,46343,"Wayne County, IN",5813,2016,18,177,17,10859,11.14540992
786,21014,"Wells County, IN",1780,2016,18,179,9.7,2663,7.809072563
787,16812,"White County, IN",2204,2016,18,181,10.9,2571,11.5902398
788,25352,"Whitley County, IN",2249,2016,18,183,9,2954,8.148255498
789,5178,"Adair County, IA",246,2016,19,1,10.7,740,4.53539823
790,2677,"Adams County, IA",172,2016,19,3,12.3,452,6.037206037
791,9832,"Allamakee County, IA",758,2016,19,5,13.2,1786,7.15769594
792,9025,"Appanoose County, IA",552,2016,19,7,18.7,2304,5.763809126
793,3992,"Audubon County, IA",245,2016,19,9,11.1,616,5.782393203
794,20260,"Benton County, IA",855,2016,19,11,7.8,1975,4.049254085
795,101819,"Black Hawk County, IA",5661,2016,19,13,16.1,20556,5.267026424
796,20700,"Boone County, IA",881,2016,19,15,9.2,2389,4.082294611
797,18128,"Bremer County, IA",642,2016,19,17,6.7,1557,3.420351625
798,16371,"Buchanan County, IA",823,2016,19,19,10.1,2084,4.786553449
799,14727,"Buena Vista County, IA",1514,2016,19,21,12.1,2338,9.322086078
800,10920,"Butler County, IA",517,2016,19,23,9.8,1416,4.520416193
801,6708,"Calhoun County, IA",371,2016,19,25,12.4,1138,5.240853228
802,15660,"Carroll County, IA",627,2016,19,27,8.8,1762,3.849696077
803,9547,"Cass County, IA",587,2016,19,29,12.8,1654,5.79238208
804,14358,"Cedar County, IA",569,2016,19,31,6.6,1207,3.811884505
805,32132,"Cerro Gordo County, IA",1402,2016,19,33,11.7,4907,4.180831395
806,8060,"Cherokee County, IA",487,2016,19,35,10.9,1213,5.697905698
807,9059,"Chickasaw County, IA",523,2016,19,37,10.9,1303,5.458150699
808,7031,"Clarke County, IA",418,2016,19,39,11.6,1061,5.611491475
809,12363,"Clay County, IA",581,2016,19,41,9.1,1457,4.488566131
810,12776,"Clayton County, IA",853,2016,19,43,9.9,1709,6.258713038
811,36444,"Clinton County, IA",1559,2016,19,45,13.5,6272,4.102307713
812,12593,"Crawford County, IA",1287,2016,19,47,14.1,2345,9.272334294
813,72463,"Dallas County, IA",2817,2016,19,49,4.9,4118,3.742029756
814,6610,"Davis County, IA",618,2016,19,51,12.9,1125,8.550083011
815,5467,"Decatur County, IA",386,2016,19,53,20,1469,6.594908594
816,13324,"Delaware County, IA",694,2016,19,55,9.5,1626,4.950777572
817,29811,"Des Moines County, IA",1512,2016,19,57,16.1,6300,4.827123839
818,12386,"Dickinson County, IA",535,2016,19,59,7.8,1332,4.140546397
819,74353,"Dubuque County, IA",3175,2016,19,61,10.5,9738,4.095294603
820,6773,"Emmet County, IA",511,2016,19,63,10.9,1002,7.015376167
821,14360,"Fayette County, IA",811,2016,19,65,12.8,2449,5.345725397
822,11619,"Floyd County, IA",689,2016,19,67,12.9,2004,5.59798505
823,7455,"Franklin County, IA",549,2016,19,69,11.6,1157,6.859070465
824,5155,"Fremont County, IA",242,2016,19,71,11.6,790,4.483972577
825,6648,"Greene County, IA",361,2016,19,73,11.2,998,5.150520759
826,9443,"Grundy County, IA",345,2016,19,75,6.3,768,3.524724152
827,7811,"Guthrie County, IA",458,2016,19,77,9.9,1036,5.538759221
828,11333,"Hamilton County, IA",626,2016,19,79,9.3,1383,5.234551384
829,8088,"Hancock County, IA",416,2016,19,81,8.8,947,4.891815616
830,12319,"Hardin County, IA",677,2016,19,83,11,1807,5.209295168
831,10678,"Harrison County, IA",562,2016,19,85,10.9,1518,5
832,14107,"Henry County, IA",695,2016,19,87,12.4,2279,4.695311444
833,6911,"Howard County, IA",420,2016,19,89,9.8,900,5.729095621
834,7147,"Humboldt County, IA",350,2016,19,91,10,928,4.66853408
835,5148,"Ida County, IA",253,2016,19,93,10.2,696,4.684317719
836,12664,"Iowa County, IA",532,2016,19,95,7.2,1156,4.031524704
837,14565,"Jackson County, IA",806,2016,19,97,13,2497,5.243640622
838,27282,"Jasper County, IA",1120,2016,19,99,10.1,3542,3.943384269
839,11957,"Jefferson County, IA",938,2016,19,101,14,2311,7.274137263
840,117111,"Johnson County, IA",6676,2016,19,103,17,23460,5.393134982
841,14740,"Jones County, IA",725,2016,19,105,10.5,2012,4.688005173
842,7460,"Keokuk County, IA",487,2016,19,107,12,1199,6.128098654
843,11108,"Kossuth County, IA",511,2016,19,109,11.4,1696,4.397968844
844,25456,"Lee County, IA",1142,2016,19,111,14,4643,4.293555906
845,178675,"Linn County, IA",6611,2016,19,113,10,21613,3.567997582
846,8421,"Louisa County, IA",722,2016,19,115,11.4,1253,7.896751613
847,6358,"Lucas County, IA",355,2016,19,117,14.9,1268,5.288246686
848,9126,"Lyon County, IA",530,2016,19,119,7.3,840,5.488815244
849,12553,"Madison County, IA",600,2016,19,121,7.8,1218,4.561696951
850,16989,"Mahaska County, IA",788,2016,19,123,12.3,2640,4.43269393
851,25351,"Marion County, IA",990,2016,19,125,8.5,2725,3.758399453
852,29632,"Marshall County, IA",2422,2016,19,127,12.2,4755,7.555999251
853,11612,"Mills County, IA",495,2016,19,129,8.8,1276,4.088543818
854,7832,"Mitchell County, IA",532,2016,19,131,10.1,1064,6.360593018
855,6239,"Monona County, IA",364,2016,19,133,12.8,1111,5.512645767
856,5921,"Monroe County, IA",341,2016,19,135,12.5,968,5.445544554
857,7477,"Montgomery County, IA",477,2016,19,137,12.9,1287,5.99698265
858,33623,"Muscatine County, IA",2014,2016,19,139,10.8,4540,5.651429694
859,10460,"O'Brien County, IA",554,2016,19,141,10.1,1381,5.029961867
860,4453,"Osceola County, IA",312,2016,19,143,10.5,625,6.547743966
861,10220,"Page County, IA",592,2016,19,145,14.7,2046,5.475397706
862,6570,"Palo Alto County, IA",345,2016,19,147,10.3,899,4.989154013
863,19594,"Plymouth County, IA",981,2016,19,149,8.4,2091,4.767922236
864,4925,"Pocahontas County, IA",315,2016,19,151,11.8,792,6.011450382
865,388794,"Polk County, IA",20758,2016,19,153,10.9,50628,5.068465054
866,72445,"Pottawattamie County, IA",3869,2016,19,155,10.3,9395,5.069843017
867,12681,"Poweshiek County, IA",699,2016,19,157,11,1863,5.224215247
868,3493,"Ringgold County, IA",270,2016,19,159,14.3,696,7.175126229
869,7169,"Sac County, IA",399,2016,19,161,11.6,1124,5.272198732
870,137870,"Scott County, IA",6038,2016,19,163,13.4,22602,4.195736165
871,8680,"Shelby County, IA",424,2016,19,165,9,1037,4.657293497
872,25991,"Sioux County, IA",1583,2016,19,167,7.3,2374,5.740915355
873,71898,"Story County, IA",3529,2016,19,169,19.2,16340,4.678695958
874,12913,"Tama County, IA",887,2016,19,171,12.1,2063,6.427536232
875,4502,"Taylor County, IA",312,2016,19,173,12.3,751,6.481096801
876,9140,"Union County, IA",472,2016,19,175,13.2,1586,4.910528506
877,5299,"Van Buren County, IA",361,2016,19,177,14.5,1047,6.378091873
878,26032,"Wapello County, IA",2000,2016,19,179,16.6,5634,7.134703196
879,39511,"Warren County, IA",1338,2016,19,181,6.8,3263,3.27547798
880,16964,"Washington County, IA",944,2016,19,183,9.9,2161,5.27138709
881,4600,"Wayne County, IA",368,2016,19,185,17.9,1134,7.407407407
882,26321,"Webster County, IA",1383,2016,19,187,14.3,4874,4.992058908
883,7764,"Winnebago County, IA",334,2016,19,189,10.5,1072,4.124475179
884,13896,"Winneshiek County, IA",620,2016,19,191,9.4,1709,4.271149077
885,79254,"Woodbury County, IA",6143,2016,19,193,13.3,13318,7.193461129
886,5717,"Worth County, IA",271,2016,19,195,8.9,662,4.525718103
887,9216,"Wright County, IA",635,2016,19,197,12.6,1578,6.446046087
888,8969,"Allen County, KS",866,2016,20,1,15.5,1907,8.805287239
889,5438,"Anderson County, KS",649,2016,20,3,12.9,992,10.6620667
890,11604,"Atchison County, KS",920,2016,20,5,15.8,2398,7.34589588
891,3233,"Barber County, KS",420,2016,20,7,12,559,11.4973994
892,18822,"Barton County, KS",2642,2016,20,9,13.9,3621,12.30898248
893,10371,"Bourbon County, KS",1172,2016,20,11,17.4,2465,10.15333969
894,6875,"Brown County, KS",813,2016,20,13,13.3,1272,10.57492196
895,51071,"Butler County, KS",4384,2016,20,15,8.9,5745,7.905508971
896,1725,"Chase County, KS",195,2016,20,17,11.4,287,10.15625
897,2092,"Chautauqua County, KS",399,2016,20,19,17.5,574,16.01766359
898,14566,"Cherokee County, KS",1750,2016,20,21,15.8,3148,10.72566806
899,1705,"Cheyenne County, KS",243,2016,20,23,11.2,292,12.47433265
900,1438,"Clark County, KS",176,2016,20,25,11.5,231,10.90458488
901,5846,"Clay County, KS",425,2016,20,27,10.3,819,6.777228512
902,6193,"Cloud County, KS",664,2016,20,29,13.2,1142,9.683535074
903,6216,"Coffey County, KS",498,2016,20,31,10.4,861,7.417336908
904,1211,"Comanche County, KS",163,2016,20,33,11.7,208,11.86317322
905,24909,"Cowley County, KS",2936,2016,20,35,14,4706,10.54408332
906,28178,"Crawford County, KS",3620,2016,20,37,22.3,8318,11.3843638
907,1794,"Decatur County, KS",234,2016,20,39,14.8,404,11.53846154
908,13859,"Dickinson County, KS",1402,2016,20,41,11.1,2084,9.186816067
909,5309,"Doniphan County, KS",568,2016,20,43,13.7,989,9.664794963
910,88029,"Douglas County, KS",10098,2016,20,45,15.8,17501,10.29074567
911,1952,"Edwards County, KS",362,2016,20,47,11.2,325,15.64390666
912,1545,"Elk County, KS",241,2016,20,49,17.9,447,13.49384099
913,21928,"Ellis County, KS",2004,2016,20,51,12.4,3453,8.373725556
914,3851,"Ellsworth County, KS",321,2016,20,53,10.2,545,7.694151486
915,27638,"Finney County, KS",4524,2016,20,55,14.3,5155,14.06628941
916,24733,"Ford County, KS",4762,2016,20,57,13.4,4453,16.14510934
917,19388,"Franklin County, KS",1604,2016,20,59,11.9,2987,7.641006098
918,28778,"Geary County, KS",2827,2016,20,61,11.6,4031,8.944787217
919,1704,"Gove County, KS",248,2016,20,63,10.4,264,12.70491803
920,1675,"Graham County, KS",227,2016,20,65,12.3,311,11.93480547
921,5504,"Grant County, KS",1130,2016,20,67,12,909,17.03346397
922,4314,"Gray County, KS",783,2016,20,69,8.2,487,15.36197763
923,863,"Greeley County, KS",151,2016,20,71,11.7,149,14.89151874
924,4093,"Greenwood County, KS",504,2016,20,73,14.8,895,10.96367196
925,1723,"Hamilton County, KS",466,2016,20,75,13.5,341,21.28825948
926,3799,"Harper County, KS",590,2016,20,77,14.6,809,13.44269765
927,24854,"Harvey County, KS",2633,2016,20,79,10.5,3528,9.579073744
928,2793,"Haskell County, KS",670,2016,20,81,10.1,402,19.34738666
929,1243,"Hodgeman County, KS",168,2016,20,83,9.9,183,11.90644933
930,9776,"Jackson County, KS",998,2016,20,85,8.9,1173,9.263040653
931,14050,"Jefferson County, KS",1332,2016,20,87,9.5,1765,8.65947211
932,1811,"Jewell County, KS",239,2016,20,89,12.7,363,11.65853659
933,474239,"Johnson County, KS",32291,2016,20,91,5.6,32380,6.374943241
934,2762,"Kearny County, KS",541,2016,20,93,11.6,444,16.37904935
935,5216,"Kingman County, KS",490,2016,20,95,10.7,778,8.587451805
936,1601,"Kiowa County, KS",228,2016,20,97,13,302,12.46582832
937,14660,"Labette County, KS",1695,2016,20,99,20.8,4161,10.36380312
938,1100,"Lane County, KS",153,2016,20,101,10.1,164,12.21069433
939,59347,"Leavenworth County, KS",4152,2016,20,103,8.8,6464,6.538685649
940,2124,"Lincoln County, KS",245,2016,20,105,12.4,373,10.34191642
941,6594,"Linn County, KS",879,2016,20,107,16.6,1569,11.76234444
942,2052,"Logan County, KS",206,2016,20,109,9.9,275,9.123117803
943,23910,"Lyon County, KS",3513,2016,20,111,16.3,5212,12.81041462
944,20656,"McPherson County, KS",1996,2016,20,113,9.7,2704,8.811583966
945,7864,"Marion County, KS",1033,2016,20,115,11.2,1271,11.61065528
946,6993,"Marshall County, KS",653,2016,20,117,10.3,995,8.540413288
947,2884,"Meade County, KS",473,2016,20,119,10.9,444,14.08996127
948,25578,"Miami County, KS",1814,2016,20,121,8.2,2644,6.622371495
949,4251,"Mitchell County, KS",401,2016,20,123,11.9,712,8.619948409
950,22503,"Montgomery County, KS",3006,2016,20,125,18.9,5953,11.78407621
951,3771,"Morris County, KS",404,2016,20,127,11.8,646,9.676646707
952,1970,"Morton County, KS",303,2016,20,129,12.4,342,13.33040035
953,7512,"Nemaha County, KS",623,2016,20,131,9.3,928,7.658266749
954,11608,"Neosho County, KS",1075,2016,20,133,16.4,2552,8.475912639
955,1934,"Ness County, KS",289,2016,20,135,11.3,325,13.00044984
956,3300,"Norton County, KS",343,2016,20,137,13.7,640,9.415317046
957,11535,"Osage County, KS",1213,2016,20,139,10.9,1707,9.515218073
958,2365,"Osborne County, KS",348,2016,20,141,14.2,501,12.82712864
959,4343,"Ottawa County, KS",394,2016,20,143,10.7,618,8.317500528
960,4048,"Pawnee County, KS",408,2016,20,145,14.7,840,9.156193896
961,3765,"Phillips County, KS",427,2016,20,147,12.6,673,10.1860687
962,18900,"Pottawatomie County, KS",1474,2016,20,149,8.2,1917,7.234710906
963,6733,"Pratt County, KS",788,2016,20,151,11.4,1048,10.47733014
964,1602,"Rawlins County, KS",253,2016,20,153,12.4,310,13.63881402
965,43701,"Reno County, KS",5013,2016,20,155,14.7,8844,10.29067619
966,3021,"Republic County, KS",344,2016,20,157,11.4,524,10.22288262
967,6681,"Rice County, KS",802,2016,20,159,12.8,1167,10.71762662
968,53405,"Riley County, KS",5104,2016,20,161,18.2,11709,8.723444256
969,3567,"Rooks County, KS",403,2016,20,163,11.9,592,10.1511335
970,2072,"Rush County, KS",228,2016,20,165,12,360,9.913043478
971,4725,"Russell County, KS",616,2016,20,167,14.5,1002,11.53342071
972,40098,"Saline County, KS",4811,2016,20,169,12,6426,10.71277472
973,3589,"Scott County, KS",459,2016,20,171,7.5,370,11.33893281
974,387523,"Sedgwick County, KS",48714,2016,20,173,14.9,75334,11.16686572
975,15877,"Seward County, KS",4111,2016,20,175,13.6,3017,20.5673404
976,131462,"Shawnee County, KS",13191,2016,20,177,10.9,18931,9.119064243
977,1600,"Sheridan County, KS",302,2016,20,179,11.5,284,15.87802313
978,4230,"Sherman County, KS",484,2016,20,181,14.4,841,10.26728893
979,2330,"Smith County, KS",299,2016,20,183,14.2,507,11.37314568
980,2806,"Stafford County, KS",492,2016,20,185,13.3,547,14.9181322
981,1412,"Stanton County, KS",270,2016,20,187,10.9,220,16.05231867
982,4061,"Stevens County, KS",709,2016,20,189,10,551,14.86373166
983,17099,"Sumner County, KS",1753,2016,20,191,13.5,3091,9.298748143
984,5791,"Thomas County, KS",588,2016,20,193,10.5,787,9.217745728
985,1962,"Trego County, KS",174,2016,20,195,11,309,8.146067416
986,5108,"Wabaunsee County, KS",427,2016,20,197,8.1,549,7.714543812
987,1047,"Wallace County, KS",116,2016,20,199,12.1,179,9.974204643
988,3692,"Washington County, KS",511,2016,20,201,10.8,588,12.15798239
989,1378,"Wichita County, KS",330,2016,20,203,11.7,244,19.32084309
990,6043,"Wilson County, KS",735,2016,20,205,16.4,1402,10.84390676
991,2156,"Woodson County, KS",277,2016,20,207,18.4,571,11.38512125
992,117996,"Wyandotte County, KS",24087,2016,20,209,19.4,31432,16.95276704
993,13436,"Adair County, KY",1037,2016,21,1,26.1,4633,7.165065985
994,15797,"Allen County, KY",1127,2016,21,3,18.6,3790,6.659182226
995,17830,"Anderson County, KY",907,2016,21,5,10.6,2335,4.840689545
996,6000,"Ballard County, KY",360,2016,21,7,16.2,1277,5.660377358
997,33409,"Barren County, KY",2470,2016,21,9,21.8,9397,6.88424984
998,9391,"Bath County, KY",762,2016,21,11,24.9,3034,7.505170885
999,19641,"Bell County, KY",1560,2016,21,13,38.7,10096,7.358143484
1000,108620,"Boone County, KY",4303,2016,21,15,7.6,9662,3.810561179
1001,14904,"Bourbon County, KY",1239,2016,21,17,17.6,3466,7.675153317
1002,35499,"Boyd County, KY",1886,2016,21,19,18.2,8356,5.044804066
1003,20305,"Boyle County, KY",1145,2016,21,21,17.1,4562,5.337995338
1004,6586,"Bracken County, KY",419,2016,21,23,16.7,1386,5.981441827
1005,10047,"Breathitt County, KY",752,2016,21,25,34.3,4466,6.963607741
1006,14672,"Breckinridge County, KY",1232,2016,21,27,17.3,3386,7.746478873
1007,64068,"Bullitt County, KY",3182,2016,21,29,10.4,8144,4.731598513
1008,9562,"Butler County, KY",766,2016,21,31,17.8,2234,7.416731216
1009,9372,"Caldwell County, KY",573,2016,21,33,20.4,2523,5.761689291
1010,26971,"Calloway County, KY",2070,2016,21,35,21.2,7430,7.127853724
1011,72675,"Campbell County, KY",3751,2016,21,37,12.5,11120,4.908015597
1012,3524,"Carlisle County, KY",280,2016,21,39,14.5,693,7.360672976
1013,8212,"Carroll County, KY",566,2016,21,41,20.8,2152,6.447938027
1014,20196,"Carter County, KY",1436,2016,21,43,22.6,5932,6.638313609
1015,11225,"Casey County, KY",1004,2016,21,45,27.8,4260,8.20999264
1016,54449,"Christian County, KY",3777,2016,21,47,20.8,13938,6.486792842
1017,27802,"Clark County, KY",1550,2016,21,49,15.9,5618,5.280730444
1018,14520,"Clay County, KY",1263,2016,21,51,42.1,7945,8.002280935
1019,7482,"Clinton County, KY",639,2016,21,53,25.3,2538,7.868489102
1020,6747,"Crittenden County, KY",442,2016,21,55,18.6,1660,6.148282098
1021,4883,"Cumberland County, KY",355,2016,21,57,25.3,1679,6.777395953
1022,77251,"Daviess County, KY",4122,2016,21,59,16.4,15895,5.065562287
1023,8865,"Edmonson County, KY",705,2016,21,61,22.3,2668,7.36677116
1024,4761,"Elliott County, KY",322,2016,21,63,30.7,1998,6.334841629
1025,10711,"Estill County, KY",785,2016,21,65,27.3,3852,6.828462074
1026,247892,"Fayette County, KY",19479,2016,21,67,17.9,54406,7.285382484
1027,11039,"Fleming County, KY",872,2016,21,69,21.2,3066,7.320963815
1028,28071,"Floyd County, KY",2171,2016,21,71,30.4,11137,7.178758019
1029,37739,"Franklin County, KY",2582,2016,21,73,13.7,6708,6.403611022
1030,4233,"Fulton County, KY",256,2016,21,75,30,1712,5.702829138
1031,6952,"Gallatin County, KY",525,2016,21,77,14.5,1238,7.0215327
1032,13212,"Garrard County, KY",1019,2016,21,79,16.3,2784,7.160424426
1033,19934,"Grant County, KY",1165,2016,21,81,15.6,3787,5.521588701
1034,27960,"Graves County, KY",2176,2016,21,83,20.7,7571,7.220599947
1035,19430,"Grayson County, KY",1447,2016,21,85,22.1,5585,6.931072472
1036,8044,"Green County, KY",664,2016,21,87,20.4,2223,7.625172255
1037,27004,"Greenup County, KY",1434,2016,21,89,17.4,6131,5.042548702
1038,6954,"Hancock County, KY",317,2016,21,91,12.6,1100,4.359785449
1039,85197,"Hardin County, KY",4492,2016,21,93,13.8,14306,5.008417978
1040,20356,"Harlan County, KY",1466,2016,21,95,37.1,9889,6.717991018
1041,14407,"Harrison County, KY",953,2016,21,97,15.3,2820,6.204427083
1042,14105,"Hart County, KY",1133,2016,21,99,21.8,3998,7.435358971
1043,35746,"Henderson County, KY",2106,2016,21,101,17.1,7739,5.563774701
1044,12153,"Henry County, KY",893,2016,21,103,18.5,2886,6.845009965
1045,3138,"Hickman County, KY",219,2016,21,105,20.1,884,6.523681859
1046,34833,"Hopkins County, KY",2133,2016,21,107,18.3,8154,5.770167181
1047,10231,"Jackson County, KY",789,2016,21,109,31.9,4213,7.159709619
1048,602072,"Jefferson County, KY",35430,2016,21,111,14.9,111467,5.557629623
1049,40668,"Jessamine County, KY",2813,2016,21,113,15.9,8014,6.469492422
1050,17220,"Johnson County, KY",1221,2016,21,115,25.9,5814,6.621115992
1051,134098,"Kenton County, KY",7280,2016,21,117,12.6,20493,5.149316018
1052,11327,"Knott County, KY",841,2016,21,119,38.2,5659,6.911571335
1053,23584,"Knox County, KY",1701,2016,21,121,39.2,12097,6.727308681
1054,10569,"Larue County, KY",736,2016,21,123,16.9,2312,6.510393631
1055,46609,"Laurel County, KY",3236,2016,21,125,23.2,13782,6.492125589
1056,12271,"Lawrence County, KY",840,2016,21,127,27.1,4251,6.406833956
1057,4847,"Lee County, KY",318,2016,21,129,39,2487,6.156824782
1058,7865,"Leslie County, KY",577,2016,21,131,31.8,3265,6.834873253
1059,17113,"Letcher County, KY",1275,2016,21,133,31.6,7113,6.933869915
1060,10085,"Lewis County, KY",832,2016,21,135,26.8,3545,7.621141339
1061,18313,"Lincoln County, KY",1477,2016,21,137,22.9,5499,7.463365336
1062,6822,"Livingston County, KY",436,2016,21,139,14.5,1329,6.007164508
1063,20103,"Logan County, KY",1441,2016,21,141,17.5,4581,6.688637208
1064,4842,"Lyon County, KY",285,2016,21,143,16.4,1152,5.558806319
1065,49022,"McCracken County, KY",2975,2016,21,145,18.7,11962,5.721483932
1066,12084,"McCreary County, KY",1024,2016,21,147,39.3,6168,7.812023192
1067,7077,"McLean County, KY",504,2016,21,149,17.3,1619,6.648199446
1068,67585,"Madison County, KY",4003,2016,21,151,21.3,17680,5.591719283
1069,9645,"Magoffin County, KY",847,2016,21,153,31.9,3993,8.072817385
1070,14795,"Marion County, KY",918,2016,21,155,20.1,3750,5.842296188
1071,22974,"Marshall County, KY",1394,2016,21,157,12.1,3734,5.720617203
1072,8046,"Martin County, KY",621,2016,21,159,39.3,4115,7.165109034
1073,13116,"Mason County, KY",798,2016,21,161,19.4,3256,5.735230703
1074,22782,"Meade County, KY",1284,2016,21,163,13.4,3716,5.335327848
1075,4670,"Menifee County, KY",457,2016,21,165,24.1,1513,8.913594695
1076,16239,"Mercer County, KY",1098,2016,21,167,14.5,3088,6.333275653
1077,7482,"Metcalfe County, KY",579,2016,21,169,22.7,2244,7.182731671
1078,7706,"Monroe County, KY",749,2016,21,171,23.2,2409,8.858663513
1079,21631,"Montgomery County, KY",1489,2016,21,173,17.9,4881,6.440311419
1080,8666,"Morgan County, KY",762,2016,21,175,27.2,3109,8.082308019
1081,22323,"Muhlenberg County, KY",1524,2016,21,177,19.6,5732,6.390740974
1082,36716,"Nelson County, KY",1944,2016,21,179,11.6,5236,5.028453182
1083,5385,"Nicholas County, KY",394,2016,21,181,19.8,1376,6.817788545
1084,18656,"Ohio County, KY",1211,2016,21,183,20.3,4865,6.09553531
1085,51322,"Oldham County, KY",1885,2016,21,185,5.9,3582,3.542766929
1086,8242,"Owen County, KY",523,2016,21,187,18.2,1923,5.966913862
1087,3349,"Owsley County, KY",253,2016,21,189,45.2,1980,7.023875625
1088,11549,"Pendleton County, KY",723,2016,21,191,14.4,2069,5.891460235
1089,21044,"Perry County, KY",1279,2016,21,193,30.9,8254,5.729516642
1090,44906,"Pike County, KY",3527,2016,21,195,31.4,18486,7.282224929
1091,9523,"Powell County, KY",670,2016,21,197,26.5,3185,6.573138428
1092,48178,"Pulaski County, KY",3164,2016,21,199,18.9,11876,6.162595925
1093,1555,"Robertson County, KY",101,2016,21,201,24.6,514,6.099033816
1094,12734,"Rockcastle County, KY",866,2016,21,203,24.2,3991,6.367647059
1095,16878,"Rowan County, KY",1089,2016,21,205,25.4,5389,6.061112039
1096,12983,"Russell County, KY",1125,2016,21,207,25,4361,7.974199036
1097,44208,"Scott County, KY",2187,2016,21,209,10.4,5400,4.713870029
1098,35795,"Shelby County, KY",2759,2016,21,211,11.5,5178,7.156196504
1099,13956,"Simpson County, KY",796,2016,21,213,15.1,2663,5.395878525
1100,15066,"Spencer County, KY",801,2016,21,215,8.8,1601,5.048213273
1101,18263,"Taylor County, KY",1217,2016,21,217,21.3,5098,6.247433265
1102,9269,"Todd County, KY",825,2016,21,219,20.4,2457,8.173172181
1103,10298,"Trigg County, KY",740,2016,21,221,14.5,2046,6.704113064
1104,6753,"Trimble County, KY",405,2016,21,223,14.8,1263,5.658005029
