,NIC_PT,NAME,NUI_PT,time,state,county,SAEPOVRTALL_PT,SAEPOVALL_PT,unemployed_percentage,State,County
26,23938,"Escambia County, AL",6087,2008,01,053,24.1,8490,7.6, AL,Escambia County
27,70967,"Etowah County, AL",14410,2008,01,055,16.7,16923,6.0, AL,Etowah County
28,12035,"Fayette County, AL",2345,2008,01,057,19.8,3430,7.2, AL,Fayette County
29,20753,"Franklin County, AL",4959,2008,01,059,19.5,5918,7.4, AL,Franklin County
30,17577,"Geneva County, AL",3755,2008,01,061,17.8,4544,5.5, AL,Geneva County
31,6372,"Greene County, AL",1161,2008,01,063,30.3,2751,8.5, AL,Greene County
32,12104,"Hale County, AL",2447,2008,01,065,26,4417,7.4, AL,Hale County
33,11457,"Henry County, AL",2254,2008,01,067,18.6,3056,7.7, AL,Henry County
34,70204,"Houston County, AL",12463,2008,01,069,15.1,14641,4.9, AL,Houston County
35,37122,"Jackson County, AL",7168,2008,01,071,16.9,8895,6.2, AL,Jackson County
36,478101,"Jefferson County, AL",78749,2008,01,073,13.8,88637,5.4, AL,Jefferson County
37,9702,"Lamar County, AL",1949,2008,01,075,18.2,2564,8.0, AL,Lamar County
38,61000,"Lauderdale County, AL",11382,2008,01,077,17,14789,5.7, AL,Lauderdale County
39,24439,"Lawrence County, AL",4970,2008,01,079,15,5068,6.5, AL,Lawrence County
40,101826,"Lee County, AL",15010,2008,01,081,15.5,19990,5.2, AL,Lee County
41,54388,"Limestone County, AL",9909,2008,01,083,12.1,8878,4.7, AL,Limestone County
42,9021,"Lowndes County, AL",1717,2008,01,085,25.4,3204,10.9, AL,Lowndes County
43,14166,"Macon County, AL",2391,2008,01,087,30.5,6063,7.4, AL,Macon County
44,235996,"Madison County, AL",36020,2008,01,089,11.3,35200,4.2, AL,Madison County
45,15018,"Marengo County, AL",2620,2008,01,091,22.6,4712,7.4, AL,Marengo County
46,19541,"Marion County, AL",3794,2008,01,093,19.6,5581,8.0, AL,Marion County
47,60627,"Marshall County, AL",14286,2008,01,095,18,15736,4.7, AL,Marshall County
48,290133,"Mobile County, AL",58969,2008,01,097,18.6,74067,5.7, AL,Mobile County
49,15969,"Monroe County, AL",3112,2008,01,099,21.8,4855,10.2, AL,Monroe County
50,160997,"Montgomery County, AL",24545,2008,01,101,17.6,37511,5.9, AL,Montgomery County
51,82367,"Morgan County, AL",15771,2008,01,103,12.5,14284,5.2, AL,Morgan County
52,6914,"Perry County, AL",1368,2008,01,105,31.7,3165,11.3, AL,Perry County
53,13365,"Pickens County, AL",2623,2008,01,107,25.6,4932,7.1, AL,Pickens County
54,20812,"Pike County, AL",4059,2008,01,109,22.5,6489,4.9, AL,Pike County
55,15124,"Randolph County, AL",3326,2008,01,111,17.3,3807,7.3, AL,Randolph County
56,35180,"Russell County, AL",7423,2008,01,113,23.3,11599,8.0, AL,Russell County
57,57008,"St. Clair County, AL",10972,2008,01,115,12.6,9745,5.0, AL,St. Clair County
58,151211,"Shelby County, AL",17388,2008,01,117,5.8,10728,3.7, AL,Shelby County
59,9035,"Sumter County, AL",1691,2008,01,119,32.9,4249,8.7, AL,Sumter County
60,55929,"Talladega County, AL",9560,2008,01,121,18.7,14305,7.2, AL,Talladega County
61,27931,"Tallapoosa County, AL",4896,2008,01,123,19.5,7706,7.2, AL,Tallapoosa County
62,129938,"Tuscaloosa County, AL",20543,2008,01,125,17.3,29379,4.7, AL,Tuscaloosa County
63,47382,"Walker County, AL",9657,2008,01,127,17.4,11839,5.7, AL,Walker County
64,12246,"Washington County, AL",2309,2008,01,129,18.2,3113,8.4, AL,Washington County
65,8806,"Wilcox County, AL",1938,2008,01,131,30.2,3815,14.0, AL,Wilcox County
66,16528,"Winston County, AL",3424,2008,01,133,18.3,4337,8.7, AL,Winston County
67,1909,"Aleutians East Borough, AK",885,2008,02,013,15.3,429,8.7, AK,Aleutians East Borough
68,3163,"Aleutians West Census Area, AK",1240,2008,02,016,9,404,5.8, AK,Aleutians West Census Area
69,210784,"Anchorage Borough, AK",43887,2008,02,020,7.2,19638,5.4, AK,Anchorage Borough
70,12428,"Bethel Census Area, AK",4377,2008,02,050,21.5,3630,13.9, AK,Bethel Census Area
71,662,"Bristol Bay Borough, AK",252,2008,02,060,7.8,74,4.9, AK,Bristol Bay Borough
72,1309,"Denali Borough, AK",381,2008,02,068,5.4,100,6.1, AK,Denali Borough
73,3251,"Dillingham Census Area, AK",1462,2008,02,070,19.6,960,9.3, AK,Dillingham Census Area
74,72733,"Fairbanks North Star Borough, AK",15621,2008,02,090,7.5,7004,6.1, AK,Fairbanks North Star Borough
75,1513,"Haines Borough, AK",515,2008,02,100,10.4,235,8.8, AK,Haines Borough
76,23056,"Juneau Borough, AK",5119,2008,02,110,6.7,2047,4.8, AK,Juneau Borough
77,36074,"Kenai Peninsula Borough, AK",11033,2008,02,122,10.3,5380,8.2, AK,Kenai Peninsula Borough
78,9211,"Ketchikan Gateway Borough, AK",2596,2008,02,130,8.7,1129,5.9, AK,Ketchikan Gateway Borough
79,9213,"Kodiak Island Borough, AK",3051,2008,02,150,8,1034,6.8, AK,Kodiak Island Borough
80,862,"Lake and Peninsula Borough, AK",582,2008,02,164,17.2,254,6.9, AK,Lake and Peninsula Borough
81,60175,"Matanuska-Susitna Borough, AK",18068,2008,02,170,9.3,7808,7.6, AK,Matanuska-Susitna Borough
82,6200,"Nome Census Area, AK",2702,2008,02,180,20.9,1898,10.4, AK,Nome Census Area
83,4890,"North Slope Borough, AK",1633,2008,02,185,11.4,743,4.2, AK,North Slope Borough
84,5195,"Northwest Arctic Borough, AK",2112,2008,02,188,16.5,1225,11.6, AK,Northwest Arctic Borough
85,3599,"Prince of Wales-Outer Ketchikan Census Area, AK",1538,2008,02,201,15.2,839,13.8, AK,Prince of Wales-Outer Ketchikan Census Area
86,6009,"Sitka Borough, AK",1830,2008,02,220,7.8,677,5.8, AK,Sitka Borough
87,4346,"Southeast Fairbanks Census Area, AK",1818,2008,02,240,13.3,887,8.8, AK,Southeast Fairbanks Census Area
88,6541,"Valdez-Cordova Census Area, AK",2005,2008,02,261,8.5,790,8.4, AK,Valdez-Cordova Census Area
89,3957,"Wrangell-Petersburg Census Area, AK",1288,2008,02,280,9.8,573,10.7, AK,Wrangell-Petersburg Census Area
90,405,"Yakutat Borough, AK",199,2008,02,282,13.3,86,7.5, AK,Yakutat Borough
91,3767,"Yukon-Koyukuk Census Area, AK",1672,2008,02,290,24.9,1410,14.1, AK,Yukon-Koyukuk Census Area
92,46659,"Apache County, AZ",16205,2008,04,001,33.2,22913,11.6, AZ,Apache County
93,82160,"Cochise County, AZ",17937,2008,04,003,16,19628,5.9, AZ,Cochise County
94,88457,"Coconino County, AZ",28167,2008,04,005,16,20099,5.6, AZ,Coconino County
95,32024,"Gila County, AZ",8169,2008,04,007,16.1,8224,6.5, AZ,Gila County
96,22806,"Graham County, AZ",5921,2008,04,009,21.4,7084,7.1, AZ,Graham County
97,5910,"Greenlee County, AZ",1316,2008,04,011,11.3,898,5.3, AZ,Greenlee County
98,9755,"La Paz County, AZ",3292,2008,04,012,26.1,5162,7.7, AZ,La Paz County
99,2762299,"Maricopa County, AZ",702207,2008,04,013,13.4,521208,5.4, AZ,Maricopa County
100,117658,"Mohave County, AZ",32763,2008,04,015,16.8,32438,7.7, AZ,Mohave County
101,74648,"Navajo County, AZ",23672,2008,04,017,23.1,25447,10.1, AZ,Navajo County
102,683544,"Pima County, AZ",156183,2008,04,019,15.4,153040,5.8, AZ,Pima County
103,210094,"Pinal County, AZ",57682,2008,04,021,14,43350,7.4, AZ,Pinal County
104,26439,"Santa Cruz County, AZ",10471,2008,04,023,18.5,7905,11.0, AZ,Santa Cruz County
105,126298,"Yavapai County, AZ",37026,2008,04,025,12.9,27395,6.2, AZ,Yavapai County
106,113912,"Yuma County, AZ",37497,2008,04,027,21.5,40456,18.4, AZ,Yuma County
107,12789,"Arkansas County, AR",3048,2008,05,001,20.1,3791,9.8, AR,Arkansas County
108,15178,"Ashley County, AR",3534,2008,05,003,18.3,4022,7.6, AR,Ashley County
109,23930,"Baxter County, AR",6493,2008,05,005,16.8,6975,6.0, AR,Baxter County
110,147556,"Benton County, AR",35072,2008,05,007,11.1,22933,4.1, AR,Benton County
111,24011,"Boone County, AR",5941,2008,05,009,15,5440,5.5, AR,Boone County
112,7216,"Bradley County, AR",2384,2008,05,011,24.1,2778,7.2, AR,Bradley County
113,3202,"Calhoun County, AR",1136,2008,05,013,16.5,877,6.2, AR,Calhoun County
114,16555,"Carroll County, AR",6082,2008,05,015,15.6,4256,4.5, AR,Carroll County
115,7438,"Chicot County, AR",1795,2008,05,017,30.4,3417,8.3, AR,Chicot County
116,14560,"Clark County, AR",3621,2008,05,019,21.8,4691,5.9, AR,Clark County
117,9772,"Clay County, AR",2713,2008,05,021,18.1,2834,8.1, AR,Clay County
118,15129,"Cleburne County, AR",4358,2008,05,023,15.2,3815,5.6, AR,Cleburne County
119,5671,"Cleveland County, AR",1579,2008,05,025,19.5,1684,5.9, AR,Cleveland County
120,15383,"Columbia County, AR",3673,2008,05,027,20.7,4737,7.0, AR,Columbia County
121,13819,"Conway County, AR",3436,2008,05,029,17.1,3494,5.5, AR,Conway County
122,64245,"Craighead County, AR",15405,2008,05,031,17.5,15804,4.9, AR,Craighead County
123,41457,"Crawford County, AR",10446,2008,05,033,15.6,9228,4.9, AR,Crawford County
124,37590,"Crittenden County, AR",8755,2008,05,035,20.5,10616,7.9, AR,Crittenden County
125,12389,"Cross County, AR",3541,2008,05,037,18.7,3452,6.8, AR,Cross County
126,5123,"Dallas County, AR",1490,2008,05,039,21,1624,7.2, AR,Dallas County
127,8884,"Desha County, AR",2517,2008,05,041,29,3884,8.8, AR,Desha County
128,12334,"Drew County, AR",3273,2008,05,043,20.4,3674,7.9, AR,Drew County
129,75782,"Faulkner County, AR",15226,2008,05,045,16.2,16448,4.8, AR,Faulkner County
130,11877,"Franklin County, AR",3105,2008,05,047,17,3042,4.5, AR,Franklin County
131,7187,"Fulton County, AR",1977,2008,05,049,18.7,2159,5.2, AR,Fulton County
132,58189,"Garland County, AR",17114,2008,05,051,16.1,15406,5.6, AR,Garland County
133,12333,"Grant County, AR",2915,2008,05,053,11.5,2007,5.2, AR,Grant County
134,28113,"Greene County, AR",6482,2008,05,055,16.6,6652,6.6, AR,Greene County
135,14953,"Hempstead County, AR",4553,2008,05,057,20.6,4641,5.8, AR,Hempstead County
136,20759,"Hot Spring County, AR",5236,2008,05,059,15.7,4793,6.6, AR,Hot Spring County
137,9484,"Howard County, AR",2508,2008,05,061,21.3,2933,5.5, AR,Howard County
138,23289,"Independence County, AR",5181,2008,05,063,15.1,5096,7.0, AR,Independence County
139,7554,"Izard County, AR",2131,2008,05,065,19.7,2403,6.7, AR,Izard County
140,9984,"Jackson County, AR",2580,2008,05,067,24.9,3697,7.8, AR,Jackson County
141,50669,"Jefferson County, AR",12253,2008,05,069,20.6,14984,7.7, AR,Jefferson County
142,16199,"Johnson County, AR",4429,2008,05,071,17.4,4212,4.7, AR,Johnson County
143,4777,"Lafayette County, AR",1412,2008,05,073,25.4,1923,7.1, AR,Lafayette County
144,10598,"Lawrence County, AR",2901,2008,05,075,20.8,3372,7.1, AR,Lawrence County
145,5783,"Lee County, AR",1695,2008,05,077,38.6,3490,8.5, AR,Lee County
146,6527,"Lincoln County, AR",1964,2008,05,079,29,2904,8.1, AR,Lincoln County
147,8564,"Little River County, AR",2063,2008,05,081,18.4,2329,3.9, AR,Little River County
148,14829,"Logan County, AR",3759,2008,05,083,16.6,3666,6.5, AR,Logan County
149,46435,"Lonoke County, AR",11235,2008,05,085,11.7,7538,4.5, AR,Lonoke County
150,10048,"Madison County, AR",3120,2008,05,087,17,2633,4.4, AR,Madison County
151,10351,"Marion County, AR",2589,2008,05,089,17.7,2933,6.3, AR,Marion County
152,28789,"Miller County, AR",7445,2008,05,091,19.8,8333,4.0, AR,Miller County
153,32106,"Mississippi County, AR",8006,2008,05,093,23.5,10784,7.7, AR,Mississippi County
154,5151,"Monroe County, AR",1539,2008,05,095,26,2175,6.4, AR,Monroe County
155,5271,"Montgomery County, AR",1921,2008,05,097,17.7,1581,5.7, AR,Montgomery County
156,5936,"Nevada County, AR",1605,2008,05,099,22,1965,6.8, AR,Nevada County
157,5006,"Newton County, AR",1780,2008,05,101,23.3,1915,5.7, AR,Newton County
158,17062,"Ouachita County, AR",4077,2008,05,103,22,5598,6.4, AR,Ouachita County
159,6616,"Perry County, AR",1964,2008,05,105,16.2,1649,5.6, AR,Perry County
160,14536,"Phillips County, AR",3512,2008,05,107,34.9,7420,7.2, AR,Phillips County
161,6421,"Pike County, AR",2190,2008,05,109,17.5,1825,6.1, AR,Pike County
162,16281,"Poinsett County, AR",4478,2008,05,111,23.8,5777,6.4, AR,Poinsett County
163,12456,"Polk County, AR",3868,2008,05,113,19.5,3899,5.2, AR,Polk County
164,39312,"Pope County, AR",9683,2008,05,115,15.7,8940,4.9, AR,Pope County
165,5376,"Prairie County, AR",1592,2008,05,117,18.1,1526,5.7, AR,Prairie County
166,272173,"Pulaski County, AR",50847,2008,05,119,16.5,60677,4.8, AR,Pulaski County
167,11689,"Randolph County, AR",3040,2008,05,121,20.4,3625,8.2, AR,Randolph County
168,16193,"St. Francis County, AR",4209,2008,05,123,31.4,7433,9.4, AR,St. Francis County
169,68281,"Saline County, AR",14996,2008,05,125,9.6,9265,4.5, AR,Saline County
170,7218,"Scott County, AR",2114,2008,05,127,19.9,2200,4.8, AR,Scott County
171,5032,"Searcy County, AR",1345,2008,05,129,24.2,1931,5.4, AR,Searcy County
172,83291,"Sebastian County, AR",21969,2008,05,131,17.3,20814,5.0, AR,Sebastian County
173,10717,"Sevier County, AR",3546,2008,05,133,22.3,3639,4.1, AR,Sevier County
174,10641,"Sharp County, AR",2888,2008,05,135,19.7,3474,7.5, AR,Sharp County
175,7179,"Stone County, AR",2150,2008,05,137,19.4,2318,6.6, AR,Stone County
176,29245,"Union County, AR",6439,2008,05,139,19.8,8340,6.4, AR,Union County
177,9599,"Van Buren County, AR",2914,2008,05,141,18.3,2967,6.6, AR,Van Buren County
178,134261,"Washington County, AR",36669,2008,05,143,15,28162,4.2, AR,Washington County
179,47985,"White County, AR",12769,2008,05,145,16.7,11857,6.0, AR,White County
180,4654,"Woodruff County, AR",1482,2008,05,147,27.1,1974,8.0, AR,Woodruff County
181,13837,"Yell County, AR",4746,2008,05,149,17.6,3788,4.5, AR,Yell County
182,1137161,"Alameda County, CA",173312,2008,06,001,10.4,150203,6.2, CA,Alameda County
183,751,"Alpine County, CA",187,2008,06,003,15.7,165,10.5, CA,Alpine County
184,22387,"Amador County, CA",4370,2008,06,005,9.8,3333,7.7, CA,Amador County
185,149572,"Butte County, CA",33607,2008,06,007,20.7,44569,8.5, CA,Butte County
186,31701,"Calaveras County, CA",6282,2008,06,009,11.5,5336,8.7, CA,Calaveras County
187,13643,"Colusa County, CA",4819,2008,06,011,13.5,2816,13.8, CA,Colusa County
188,794209,"Contra Costa County, CA",109946,2008,06,013,9.4,96183,6.2, CA,Contra Costa County
189,17161,"Del Norte County, CA",4232,2008,06,015,23.6,5930,8.8, CA,Del Norte County
190,133257,"El Dorado County, CA",22207,2008,06,017,7.8,13692,7.0, CA,El Dorado County
191,636989,"Fresno County, CA",166354,2008,06,019,22.1,197265,10.6, CA,Fresno County
192,18490,"Glenn County, CA",5910,2008,06,021,16.9,4713,10.5, CA,Glenn County
193,86909,"Humboldt County, CA",22929,2008,06,023,19.8,24794,7.3, CA,Humboldt County
194,102462,"Imperial County, CA",31840,2008,06,025,21.5,32833,22.6, CA,Imperial County
195,11346,"Inyo County, CA",3048,2008,06,027,11.6,1964,6.6, CA,Inyo County
196,551383,"Kern County, CA",138325,2008,06,029,20.5,156128,9.8, CA,Kern County
197,89478,"Kings County, CA",24995,2008,06,031,17.9,22566,10.6, CA,Kings County
198,43128,"Lake County, CA",10573,2008,06,033,17.9,11462,10.7, CA,Lake County
199,18236,"Lassen County, CA",3734,2008,06,035,20.7,5135,9.6, CA,Lassen County
200,6635399,"Los Angeles County, CA",2072678,2008,06,037,15.3,1482051,7.6, CA,Los Angeles County
201,93151,"Madera County, CA",30352,2008,06,039,18.2,25275,9.5, CA,Madera County
202,179825,"Marin County, CA",22870,2008,06,041,7.1,17007,4.7, CA,Marin County
203,11984,"Mariposa County, CA",2413,2008,06,043,13.5,2388,7.5, CA,Mariposa County
204,56219,"Mendocino County, CA",16251,2008,06,045,17.7,15032,6.9, CA,Mendocino County
205,170298,"Merced County, CA",47362,2008,06,047,21.5,52005,12.6, CA,Merced County
206,5639,"Modoc County, CA",1522,2008,06,049,17.4,1552,9.7, CA,Modoc County
207,8723,"Mono County, CA",2310,2008,06,051,9.6,1224,5.9, CA,Mono County
208,267121,"Monterey County, CA",81325,2008,06,053,12.7,49360,8.5, CA,Monterey County
209,93148,"Napa County, CA",18160,2008,06,055,9,11511,5.1, CA,Napa County
210,66413,"Nevada County, CA",12763,2008,06,057,9.2,8848,6.6, CA,Nevada County
211,2165909,"Orange County, CA",491853,2008,06,059,9.9,294758,5.3, CA,Orange County
212,256086,"Placer County, CA",33037,2008,06,061,6.7,22873,6.5, CA,Placer County
213,13463,"Plumas County, CA",2697,2008,06,063,12,2408,10.6, CA,Plumas County
214,1425580,"Riverside County, CA",405030,2008,06,065,12.6,260109,8.6, CA,Riverside County
215,1054783,"Sacramento County, CA",174893,2008,06,067,13.3,182573,7.2, CA,Sacramento County
216,39699,"San Benito County, CA",9706,2008,06,069,10.4,5628,9.7, CA,San Benito County
217,1424146,"San Bernardino County, CA",375172,2008,06,071,14.7,288756,8.0, CA,San Bernardino County
218,2111121,"San Diego County, CA",475687,2008,06,073,12.6,364576,6.0, CA,San Diego County
219,603261,"San Francisco County, CA",87828,2008,06,075,11.2,89423,5.3, CA,San Francisco County
220,489201,"San Joaquin County, CA",106630,2008,06,077,16.5,108919,10.4, CA,San Joaquin County
221,176680,"San Luis Obispo County, CA",36409,2008,06,079,12.1,30243,5.8, CA,San Luis Obispo County
222,541782,"San Mateo County, CA",78798,2008,06,081,6.5,45990,4.9, CA,San Mateo County
223,274485,"Santa Barbara County, CA",63830,2008,06,083,12.7,49422,5.5, CA,Santa Barbara County
224,1383927,"Santa Clara County, CA",190669,2008,06,085,7.6,131334,6.0, CA,Santa Clara County
225,182100,"Santa Cruz County, CA",37142,2008,06,087,13.3,32460,7.4, CA,Santa Cruz County
226,123670,"Shasta County, CA",27403,2008,06,089,17.7,31309,10.1, CA,Shasta County
227,2122,"Sierra County, CA",539,2008,06,091,12.7,409,10.6, CA,Sierra County
228,28834,"Siskiyou County, CA",6889,2008,06,093,16.4,7182,10.2, CA,Siskiyou County
229,303429,"Solano County, CA",47554,2008,06,095,9,35393,6.9, CA,Solano County
230,336202,"Sonoma County, CA",64036,2008,06,097,10.4,47726,5.8, CA,Sonoma County
231,365122,"Stanislaus County, CA",87937,2008,06,099,14.4,72561,11.1, CA,Stanislaus County
232,62704,"Sutter County, CA",17363,2008,06,101,15.5,14048,12.4, CA,Sutter County
233,41200,"Tehama County, CA",10299,2008,06,103,16.5,10009,9.2, CA,Tehama County
234,8286,"Trinity County, CA",2063,2008,06,105,19.9,2808,12.8, CA,Trinity County
235,288096,"Tulare County, CA",91298,2008,06,107,21.5,90369,10.8, CA,Tulare County
236,33442,"Tuolumne County, CA",6822,2008,06,109,12.5,6350,8.0, CA,Tuolumne County
237,576567,"Ventura County, CA",123574,2008,06,111,8.7,68486,6.3, CA,Ventura County
238,147113,"Yolo County, CA",25130,2008,06,113,14.6,27807,7.4, CA,Yolo County
239,53690,"Yuba County, CA",11661,2008,06,115,16.6,11931,11.9, CA,Yuba County
240,305726,"Adams County, CO",88075,2008,08,001,12,51042,5.4, CO,Adams County
241,10165,"Alamosa County, CO",2788,2008,08,003,21.4,3097,5.2, CO,Alamosa County
242,407310,"Arapahoe County, CO",84111,2008,08,005,9.8,53625,4.9, CO,Arapahoe County
243,8086,"Archuleta County, CO",2570,2008,08,007,11.3,1424,5.1, CO,Archuleta County
244,2226,"Baca County, CO",652,2008,08,009,17.7,661,3.4, CO,Baca County
245,2764,"Bent County, CO",933,2008,08,011,29.4,1291,6.2, CO,Bent County
246,220806,"Boulder County, CO",38657,2008,08,013,10.3,29232,4.1, CO,Boulder County
247,44740,"Broomfield County, CO",6055,2008,08,014,5,2745,4.5, CO,Broomfield County
248,9802,"Chaffee County, CO",2777,2008,08,015,11.9,1854,4.5, CO,Chaffee County
249,1134,"Cheyenne County, CO",334,2008,08,017,12,206,2.7, CO,Cheyenne County
250,6950,"Clear Creek County, CO",1133,2008,08,019,7.4,657,4.6, CO,Clear Creek County
251,5264,"Conejos County, CO",1533,2008,08,021,21.2,1701,7.3, CO,Conejos County
252,1962,"Costilla County, CO",619,2008,08,023,24.8,801,7.7, CO,Costilla County
253,2128,"Crowley County, CO",576,2008,08,025,46.2,1447,7.4, CO,Crowley County
254,2313,"Custer County, CO",832,2008,08,027,11.8,469,5.1, CO,Custer County
255,18437,"Delta County, CO",5868,2008,08,029,12.1,3640,4.4, CO,Delta County
256,411653,"Denver County, CO",117580,2008,08,031,18,105987,5.4, CO,Denver County
257,1179,"Dolores County, CO",481,2008,08,033,11.8,233,7.2, CO,Dolores County
258,240567,"Douglas County, CO",21493,2008,08,035,3.1,8708,4.2, CO,Douglas County
259,38574,"Eagle County, CO",11114,2008,08,037,6.8,3533,3.6, CO,Eagle County
260,17664,"Elbert County, CO",3151,2008,08,039,5.5,1258,4.8, CO,Elbert County
261,437990,"El Paso County, CO",86735,2008,08,041,10.6,61423,5.7, CO,El Paso County
262,24441,"Fremont County, CO",6724,2008,08,043,14.7,5636,6.3, CO,Fremont County
263,36444,"Garfield County, CO",13399,2008,08,045,7.4,4041,3.1, CO,Garfield County
264,4323,"Gilpin County, CO",383,2008,08,047,6.2,317,4.2, CO,Gilpin County
265,9952,"Grand County, CO",2491,2008,08,049,6.9,945,3.7, CO,Grand County
266,10619,"Gunnison County, CO",2646,2008,08,051,12,1717,3.6, CO,Gunnison County
267,509,"Hinsdale County, CO",169,2008,08,053,7.3,61,3.3, CO,Hinsdale County
268,4108,"Huerfano County, CO",1155,2008,08,055,23.8,1603,6.4, CO,Huerfano County
269,808,"Jackson County, CO",300,2008,08,057,15.6,208,3.2, CO,Jackson County
270,397242,"Jefferson County, CO",67324,2008,08,059,7.6,40139,4.7, CO,Jefferson County
271,773,"Kiowa County, CO",232,2008,08,061,12.2,159,3.7, CO,Kiowa County
272,4087,"Kit Carson County, CO",1578,2008,08,063,14.5,995,3.4, CO,Kit Carson County
273,4956,"Lake County, CO",2360,2008,08,065,12.7,1001,4.6, CO,Lake County
274,33884,"La Plata County, CO",9811,2008,08,067,10.9,5295,3.6, CO,La Plata County
275,217779,"Larimer County, CO",37300,2008,08,069,11.6,33125,4.2, CO,Larimer County
276,9847,"Las Animas County, CO",2764,2008,08,071,16.8,2559,4.5, CO,Las Animas County
277,2588,"Lincoln County, CO",832,2008,08,073,16.8,711,3.7, CO,Lincoln County
278,12286,"Logan County, CO",3377,2008,08,075,13.4,2477,3.9, CO,Logan County
279,95775,"Mesa County, CO",24054,2008,08,077,10.6,14876,3.9, CO,Mesa County
280,531,"Mineral County, CO",211,2008,08,079,10.4,100,5.5, CO,Mineral County
281,9667,"Moffat County, CO",2797,2008,08,081,9.5,1303,3.8, CO,Moffat County
282,15912,"Montezuma County, CO",5441,2008,08,083,16.3,4068,5.2, CO,Montezuma County
283,24568,"Montrose County, CO",9097,2008,08,085,11.9,4766,5.0, CO,Montrose County
284,17369,"Morgan County, CO",6245,2008,08,087,12.7,3438,4.2, CO,Morgan County
285,11998,"Otero County, CO",3159,2008,08,089,22.2,4050,5.9, CO,Otero County
286,2982,"Ouray County, CO",973,2008,08,091,7.6,345,3.7, CO,Ouray County
287,12477,"Park County, CO",2723,2008,08,093,8.2,1390,4.8, CO,Park County
288,2651,"Phillips County, CO",921,2008,08,095,11.9,522,3.4, CO,Phillips County
289,12055,"Pitkin County, CO",1852,2008,08,097,5,772,3.3, CO,Pitkin County
290,8163,"Prowers County, CO",2828,2008,08,099,19.1,2454,4.5, CO,Prowers County
291,106217,"Pueblo County, CO",24645,2008,08,101,16.8,25632,6.1, CO,Pueblo County
292,4344,"Rio Blanco County, CO",1061,2008,08,103,8.1,499,2.6, CO,Rio Blanco County
293,7432,"Rio Grande County, CO",2213,2008,08,105,15.4,1763,5.7, CO,Rio Grande County
294,18140,"Routt County, CO",3027,2008,08,107,5.8,1308,3.4, CO,Routt County
295,4369,"Saguache County, CO",1896,2008,08,109,29.9,2098,7.2, CO,Saguache County
296,380,"San Juan County, CO",146,2008,08,111,12.4,68,5.6, CO,San Juan County
297,5496,"San Miguel County, CO",1679,2008,08,113,8.2,613,3.9, CO,San Miguel County
298,1336,"Sedgwick County, CO",497,2008,08,115,11.8,272,3.2, CO,Sedgwick County
299,20003,"Summit County, CO",5294,2008,08,117,6.8,1810,3.7, CO,Summit County
300,16292,"Teller County, CO",2778,2008,08,119,7.3,1570,5.5, CO,Teller County
301,2563,"Washington County, CO",879,2008,08,121,12.4,531,3.2, CO,Washington County
